,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,9.017807,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,0
1,2,false,4.942917,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,0
2,3,TRUE,2.762787,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,1
3,4,TRUE,3.977554,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,0
4,5,false,3.011536,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,0
5,6,TRUE,3.378494,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,1
6,7,TRUE,4.027847,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,0
7,8,TRUE,2.629333,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,2
8,9,TRUE,1.281799,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,1
9,10,false,2.796066,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,2
10,11,false,4.809891,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,0
11,12,TRUE,2.195526,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,1
12,13,false,2.379791,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,2
13,14,TRUE,2.130554,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,2
14,15,TRUE,1.231873,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,1
15,16,TRUE,1.414703,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,0
16,17,TRUE,1.964569,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,2
17,18,TRUE,0.732361,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,1
18,19,TRUE,0.848755,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,0
19,20,TRUE,1.231293,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,2
20,21,TRUE,0.349518,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,1
21,22,TRUE,0.432709,PDE,JG,1,p29031,17,PDE2018,0210210210210210210210,0
