,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,4.947117,YOG,JG,1,P43660,9,YOG2018,2102102102,0
1,2,TRUE,1.483755,YOG,JG,1,P43660,9,YOG2018,2102102102,1
2,3,TRUE,1.766743,YOG,JG,1,P43660,9,YOG2018,2102102102,0
3,4,TRUE,1.583241,YOG,JG,1,P43660,9,YOG2018,2102102102,2
4,5,TRUE,1.399899,YOG,JG,1,P43660,9,YOG2018,2102102102,1
5,6,TRUE,0.299892,YOG,JG,1,P43660,9,YOG2018,2102102102,0
6,7,TRUE,0.766445,YOG,JG,1,P43660,9,YOG2018,2102102102,2
7,8,TRUE,2.150009,YOG,JG,1,P43660,9,YOG2018,2102102102,1
8,9,TRUE,0.899742,YOG,JG,1,P43660,9,YOG2018,2102102102,0
9,10,TRUE,1.599854,YOG,JG,1,P43660,9,YOG2018,2102102102,2
