,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,26.681820,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
1,2,false,0.216553,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
2,3,false,0.998352,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
3,4,false,1.016296,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
4,5,false,2.166260,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
5,6,false,0.999695,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
6,7,false,0.899780,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
7,8,false,0.366272,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
8,9,TRUE,0.349915,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
9,10,false,1.050049,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
10,11,false,0.166992,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
11,12,TRUE,1.283386,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
12,13,false,0.333191,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
13,14,TRUE,0.116394,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
14,15,false,1.799805,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
15,16,false,0.015564,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
16,17,TRUE,0.316711,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
17,18,TRUE,1.299866,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
18,19,TRUE,0.966553,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
19,20,TRUE,0.450134,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
20,21,false,0.283264,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
21,22,false,0.683106,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
22,23,false,0.533020,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
23,24,TRUE,0.699890,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
24,25,TRUE,0.166687,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
25,26,TRUE,0.599609,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
26,27,false,2.282959,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
27,28,false,1.716187,PDM,JG,3,P49956,40,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
