,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,27.914260,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,1
1,2,false,5.783417,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,0
2,3,false,2.649643,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,1
3,4,TRUE,1.349777,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,2
4,5,false,1.116501,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,2
5,6,TRUE,0.933243,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,0
6,7,false,0.698685,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,0
7,8,TRUE,0.049759,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,1
8,9,false,0.831970,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,2
9,10,false,0.550369,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,0
10,11,TRUE,0.349869,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,1
11,12,TRUE,0.483048,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,0
12,13,false,0.366516,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,1
13,14,TRUE,0.216583,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,1
14,15,TRUE,0.782990,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,0
15,16,TRUE,0.332443,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,2
16,17,TRUE,0.082916,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,1
17,18,TRUE,0.416657,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,0
18,19,TRUE,0.232971,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,2
19,20,TRUE,1.150543,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,1
20,21,TRUE,0.600159,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,0
21,22,TRUE,0.699921,YOG,JG,1,P31155,14,YOG2018,2102102102102102102102,2
