,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,8.129036,PDM,AQ,0,P27681,9,PDM2018,001001102,0
1,2,TRUE,2.083443,PDM,AQ,0,P27681,9,PDM2018,001001102,0
2,3,TRUE,1.649971,PDM,AQ,0,P27681,9,PDM2018,001001102,1
3,4,TRUE,2.266663,PDM,AQ,0,P27681,9,PDM2018,001001102,0
4,5,TRUE,2.283028,PDM,AQ,0,P27681,9,PDM2018,001001102,0
5,6,TRUE,2.733292,PDM,AQ,0,P27681,9,PDM2018,001001102,1
6,7,TRUE,6.766304,PDM,AQ,0,P27681,9,PDM2018,001001102,1
7,8,TRUE,1.766815,PDM,AQ,0,P27681,9,PDM2018,001001102,0
8,9,TRUE,1.532806,PDM,AQ,0,P27681,9,PDM2018,001001102,2
