,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,25.677010,ELD,AQ,0,P33061,9,ELD2018,221011002,2
1,2,TRUE,2.130341,ELD,AQ,0,P33061,9,ELD2018,221011002,2
2,3,TRUE,3.027840,ELD,AQ,0,P33061,9,ELD2018,221011002,1
3,4,TRUE,1.847351,ELD,AQ,0,P33061,9,ELD2018,221011002,0
4,5,TRUE,1.614380,ELD,AQ,0,P33061,9,ELD2018,221011002,1
5,6,TRUE,1.298019,ELD,AQ,0,P33061,9,ELD2018,221011002,1
6,7,TRUE,1.680199,ELD,AQ,0,P33061,9,ELD2018,221011002,0
7,8,TRUE,1.098961,ELD,AQ,0,P33061,9,ELD2018,221011002,0
8,9,TRUE,1.032082,ELD,AQ,0,P33061,9,ELD2018,221011002,2
