,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,5.756493,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
1,2,false,3.212326,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
2,3,TRUE,0.665665,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
3,4,false,2.080032,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
4,5,TRUE,0.366257,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
5,6,false,0.848770,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
6,7,false,0.715866,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
7,8,false,2.812637,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
8,9,false,0.882507,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
9,10,TRUE,1.131699,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
10,11,TRUE,1.980423,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
11,12,TRUE,1.115021,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
12,13,TRUE,1.564423,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
13,14,false,2.163605,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
14,15,false,0.515900,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
15,16,false,0.332779,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
16,17,false,5.026169,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
17,18,false,3.178741,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
18,19,false,2.779434,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
19,20,false,1.381348,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
20,21,false,3.145584,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
21,22,false,3.711578,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
22,23,false,1.613159,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
23,24,false,0.133118,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
24,25,false,1.963867,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
25,26,false,0.614594,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
26,27,TRUE,1.481384,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
27,28,false,0.615875,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
28,29,TRUE,1.997070,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
29,30,TRUE,1.464569,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
30,31,TRUE,0.765533,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
31,32,TRUE,0.682343,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
32,33,TRUE,3.428314,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
33,34,TRUE,1.748383,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
34,35,TRUE,0.648254,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,2
35,36,TRUE,2.296448,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,1
36,37,TRUE,0.682465,ELD,JG,1,P33061,16,ELD2018,0210210210210210210210210210210210210,0
