,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,16.245120,PDE,AQ,0,P40642,9,PDE2018,112021020,1
1,2,TRUE,3.032806,PDE,AQ,0,P40642,9,PDE2018,112021020,1
2,3,TRUE,1.666275,PDE,AQ,0,P40642,9,PDE2018,112021020,2
3,4,TRUE,2.384132,PDE,AQ,0,P40642,9,PDE2018,112021020,0
4,5,TRUE,1.100182,PDE,AQ,0,P40642,9,PDE2018,112021020,2
5,6,TRUE,0.949890,PDE,AQ,0,P40642,9,PDE2018,112021020,1
6,7,TRUE,1.099518,PDE,AQ,0,P40642,9,PDE2018,112021020,0
7,8,TRUE,0.733536,PDE,AQ,0,P40642,9,PDE2018,112021020,2
8,9,TRUE,0.916351,PDE,AQ,0,P40642,9,PDE2018,112021020,0
