,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,32.414120,PDA,JG,2,P35434,11,PDA2018,120120120120120,0
1,2,false,6.233337,PDA,JG,2,P35434,11,PDA2018,120120120120120,0
2,3,TRUE,5.933136,PDA,JG,2,P35434,11,PDA2018,120120120120120,0
3,4,false,6.299835,PDA,JG,2,P35434,11,PDA2018,120120120120120,2
4,5,TRUE,4.783020,PDA,JG,2,P35434,11,PDA2018,120120120120120,2
5,6,false,8.100220,PDA,JG,2,P35434,11,PDA2018,120120120120120,1
6,7,TRUE,6.183472,PDA,JG,2,P35434,11,PDA2018,120120120120120,1
7,8,TRUE,4.166321,PDA,JG,2,P35434,11,PDA2018,120120120120120,2
8,9,TRUE,7.782959,PDA,JG,2,P35434,11,PDA2018,120120120120120,0
9,10,TRUE,1.416504,PDA,JG,2,P35434,11,PDA2018,120120120120120,1
10,11,TRUE,1.966431,PDA,JG,2,P35434,11,PDA2018,120120120120120,2
11,12,TRUE,3.465820,PDA,JG,2,P35434,11,PDA2018,120120120120120,0
12,13,TRUE,0.766296,PDA,JG,2,P35434,11,PDA2018,120120120120120,1
13,14,TRUE,1.999939,PDA,JG,2,P35434,11,PDA2018,120120120120120,2
14,15,TRUE,1.616577,PDA,JG,2,P35434,11,PDA2018,120120120120120,0
