,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,1.898071,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
1,2,TRUE,0.799988,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
2,3,false,0.466400,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
3,4,TRUE,0.749664,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
4,5,TRUE,0.383209,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
5,6,TRUE,0.316498,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
6,7,TRUE,0.249939,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
7,8,TRUE,0.699860,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
8,9,TRUE,0.550003,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
9,10,false,0.216660,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
10,11,false,2.133194,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
11,12,TRUE,2.116531,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
12,13,false,0.432037,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
13,14,false,0.416504,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
14,15,false,0.099823,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
15,16,false,0.149826,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
16,17,TRUE,0.433167,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
17,18,false,1.133743,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
18,19,false,0.016571,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
19,20,TRUE,0.016510,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
20,21,TRUE,0.149735,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
21,22,false,0.266571,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
22,23,TRUE,0.266510,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
23,24,false,0.833283,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
24,25,false,0.516510,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
25,26,TRUE,0.033081,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
26,27,false,0.833038,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
27,28,false,0.299683,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
28,29,TRUE,0.333252,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
29,30,false,0.316406,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
30,31,false,1.099884,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
31,32,TRUE,0.099457,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
32,33,TRUE,0.316620,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
33,34,false,0.151276,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
34,35,TRUE,0.049927,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
35,36,false,0.499817,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
36,37,false,0.317871,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
37,38,TRUE,1.231934,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
38,39,false,0.866364,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
39,40,false,0.950317,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
40,41,TRUE,0.133301,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
41,42,false,0.216522,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
42,43,false,0.849915,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
43,44,TRUE,1.016327,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
44,45,TRUE,0.667419,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
45,46,false,4.282867,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
46,47,TRUE,0.016388,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
47,48,TRUE,0.266571,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
48,49,false,0.533173,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
49,50,TRUE,0.249786,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
50,51,TRUE,15.999180,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
51,52,false,0.016449,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
52,53,false,0.249908,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
53,54,TRUE,0.249634,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
54,55,false,0.683197,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
55,56,false,0.233246,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
56,57,TRUE,0.483185,PDM,JG,3,testversao3,38,PDM2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
