,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,11.562380,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
1,2,TRUE,1.300293,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
2,3,false,0.682556,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
3,4,false,0.549469,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
4,5,false,0.731628,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
5,6,TRUE,0.416473,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
6,7,false,3.050598,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
7,8,TRUE,0.232178,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
8,9,TRUE,0.930969,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
9,10,TRUE,0.199829,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
10,11,TRUE,1.234863,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
11,12,TRUE,0.833313,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
12,13,TRUE,0.983521,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
13,14,TRUE,0.450134,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
14,15,TRUE,0.466980,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
15,16,TRUE,0.483032,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
16,17,TRUE,0.049988,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
17,18,TRUE,0.549744,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
18,19,TRUE,0.266296,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
19,20,TRUE,0.333374,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
20,21,false,0.565735,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
21,22,false,0.650635,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
22,23,false,0.399963,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
23,24,TRUE,0.299744,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
24,25,TRUE,0.649963,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
25,26,TRUE,0.199768,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
26,27,TRUE,0.366333,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
27,28,TRUE,0.599487,PDE,JG,3,vitranoA,82,PDE2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
