,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,10.215330,ELD,JM,0,P44150,12,ELD2018,201120112011,2
1,2,TRUE,0.766724,ELD,JM,0,P44150,12,ELD2018,201120112011,0
2,3,TRUE,3.383057,ELD,JM,0,P44150,12,ELD2018,201120112011,1
3,4,TRUE,0.750000,ELD,JM,0,P44150,12,ELD2018,201120112011,1
4,5,TRUE,3.466309,ELD,JM,0,P44150,12,ELD2018,201120112011,2
5,6,TRUE,0.433350,ELD,JM,0,P44150,12,ELD2018,201120112011,0
6,7,TRUE,0.500366,ELD,JM,0,P44150,12,ELD2018,201120112011,1
7,8,TRUE,0.383179,ELD,JM,0,P44150,12,ELD2018,201120112011,1
8,9,TRUE,5.166138,ELD,JM,0,P44150,12,ELD2018,201120112011,2
9,10,TRUE,2.183472,ELD,JM,0,P44150,12,ELD2018,201120112011,0
10,11,TRUE,0.116699,ELD,JM,0,P44150,12,ELD2018,201120112011,1
11,12,TRUE,0.317017,ELD,JM,0,P44150,12,ELD2018,201120112011,1
