,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,2.480759,PDE,JG,1,vitranoA,1,PDE2018,102102102,0
1,2,false,17.844740,PDE,JG,1,vitranoA,1,PDE2018,102102102,1
2,3,false,2.616028,PDE,JG,1,vitranoA,1,PDE2018,102102102,1
3,4,false,0.546417,PDE,JG,1,vitranoA,1,PDE2018,102102102,2
4,5,false,6.948975,PDE,JG,1,vitranoA,1,PDE2018,102102102,2
5,6,false,2.749481,PDE,JG,1,vitranoA,1,PDE2018,102102102,1
6,7,false,0.601929,PDE,JG,1,vitranoA,1,PDE2018,102102102,0
7,8,false,0.116760,PDE,JG,1,vitranoA,1,PDE2018,102102102,1
8,9,TRUE,0.849793,PDE,JG,1,vitranoA,1,PDE2018,102102102,2
