,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,16.964110,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
1,2,false,1.016266,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
2,3,false,2.483154,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
3,4,TRUE,2.399872,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
4,5,false,3.815918,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
5,6,false,2.966156,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
6,7,TRUE,3.616364,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
7,8,false,3.549377,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
8,9,false,1.716644,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
9,10,TRUE,0.366333,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
10,11,TRUE,4.816559,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
11,12,TRUE,3.816437,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
12,13,TRUE,2.483154,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
13,14,TRUE,2.366516,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
14,15,TRUE,1.599457,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
15,16,TRUE,0.582855,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
16,17,TRUE,1.149628,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
17,18,TRUE,1.799866,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
18,19,TRUE,0.249756,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
19,20,TRUE,0.200073,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
20,21,false,1.682922,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
21,22,TRUE,2.981720,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
22,23,TRUE,2.766541,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
23,24,TRUE,2.083191,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
24,25,TRUE,0.416504,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
25,26,TRUE,2.049622,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
26,27,TRUE,2.982971,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
27,28,TRUE,0.500000,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
28,29,TRUE,3.416443,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
29,30,false,1.816162,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
30,31,TRUE,2.049988,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
31,32,TRUE,1.366699,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
32,33,false,3.582947,YOG,JG,3,P41399,66,YOG2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
