,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,7.865234,PDM,JM,0,P69635,12,PDM2018,121212121212,1
1,2,TRUE,1.032959,PDM,JM,0,P69635,12,PDM2018,121212121212,2
2,3,TRUE,0.549805,PDM,JM,0,P69635,12,PDM2018,121212121212,1
3,4,TRUE,0.466675,PDM,JM,0,P69635,12,PDM2018,121212121212,2
4,5,TRUE,2.583130,PDM,JM,0,P69635,12,PDM2018,121212121212,1
5,6,TRUE,0.749390,PDM,JM,0,P69635,12,PDM2018,121212121212,2
6,7,TRUE,0.266724,PDM,JM,0,P69635,12,PDM2018,121212121212,1
7,8,TRUE,0.116577,PDM,JM,0,P69635,12,PDM2018,121212121212,2
8,9,TRUE,2.949707,PDM,JM,0,P69635,12,PDM2018,121212121212,1
9,10,TRUE,0.182861,PDM,JM,0,P69635,12,PDM2018,121212121212,2
10,11,TRUE,0.083252,PDM,JM,0,P69635,12,PDM2018,121212121212,1
11,12,TRUE,0.883301,PDM,JM,0,P69635,12,PDM2018,121212121212,2
