,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,6.518227,PDE,AQ,0,cambiar,9,PDE2018,102020200,1
1,2,TRUE,1.115150,PDE,AQ,0,cambiar,9,PDE2018,102020200,0
2,3,TRUE,1.215149,PDE,AQ,0,cambiar,9,PDE2018,102020200,2
3,4,TRUE,1.115242,PDE,AQ,0,cambiar,9,PDE2018,102020200,0
4,5,TRUE,1.181580,PDE,AQ,0,cambiar,9,PDE2018,102020200,2
5,6,TRUE,1.114426,PDE,AQ,0,cambiar,9,PDE2018,102020200,0
6,7,TRUE,1.230759,PDE,AQ,0,cambiar,9,PDE2018,102020200,2
7,8,TRUE,1.015060,PDE,AQ,0,cambiar,9,PDE2018,102020200,0
8,9,TRUE,1.247986,PDE,AQ,0,cambiar,9,PDE2018,102020200,0
