,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,32.930660,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,2
1,2,false,8.799133,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,1
2,3,false,3.499878,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,0
3,4,false,2.816589,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,1
4,5,TRUE,2.749878,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,0
5,6,false,3.066010,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,2
6,7,false,2.333130,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,1
7,8,TRUE,2.349487,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,0
8,9,false,5.333069,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,2
9,10,false,3.082855,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,0
10,11,false,1.883820,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,2
11,12,TRUE,1.616547,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,1
12,13,false,4.816315,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,0
13,14,false,1.399719,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,2
14,15,TRUE,2.266266,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,1
15,16,TRUE,4.616516,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,2
16,17,TRUE,1.316254,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,0
17,18,TRUE,1.682678,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,1
18,19,TRUE,1.849915,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,2
19,20,TRUE,1.400085,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,0
20,21,TRUE,0.600525,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,1
21,22,TRUE,1.699890,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,2
22,23,TRUE,1.916656,PDA,JG,2,P93927,13,PDA2018,20120120120120120120120,0
