,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,58.545770,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,0
1,2,TRUE,11.066180,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,0
2,3,false,2.399750,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,1
3,4,TRUE,2.349609,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,0
4,5,TRUE,3.600098,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,1
5,6,false,1.849686,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,0
6,7,TRUE,1.516418,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,0
7,8,false,11.615920,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,2
8,9,false,1.065994,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,0
9,10,TRUE,2.716751,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,1
10,11,TRUE,1.683060,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,0
11,12,TRUE,1.933365,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,1
12,13,TRUE,1.932892,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,1
13,14,TRUE,1.700180,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,2
14,15,TRUE,1.683334,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,1
15,16,TRUE,2.449722,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,2
16,17,TRUE,1.616669,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,0
17,18,TRUE,1.533173,PDM,AQ,0,P4651,14,PDM2018,002011001101121200,0
