,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,7.231628,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
1,2,false,1.498703,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
2,3,TRUE,1.982864,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
3,4,TRUE,0.499817,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
4,5,TRUE,0.516480,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
5,6,false,0.765106,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
6,7,false,1.849869,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
7,8,false,0.800964,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
8,9,TRUE,0.517746,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
9,10,TRUE,0.616653,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
10,11,TRUE,0.399841,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
11,12,false,0.483719,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
12,13,false,0.799988,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
13,14,TRUE,0.983170,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
14,15,false,0.082977,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
15,16,TRUE,2.450104,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
16,17,TRUE,2.516647,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
17,18,false,0.482987,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
18,19,TRUE,0.583008,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
19,20,TRUE,0.483566,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
20,21,false,8.487717,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
21,22,TRUE,1.716171,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
22,23,TRUE,0.416412,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
23,24,false,0.532135,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
24,25,TRUE,0.233337,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
25,26,false,0.716705,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
26,27,false,0.834198,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
27,28,TRUE,1.683380,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
28,29,TRUE,0.483551,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
29,30,false,0.615814,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
30,31,TRUE,0.183350,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
31,32,false,0.549622,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
32,33,false,1.649872,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
33,34,false,0.033203,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
34,35,false,0.616760,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
35,36,TRUE,1.433258,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
36,37,TRUE,1.000061,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
37,38,TRUE,0.683350,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
38,39,false,0.399994,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
39,40,TRUE,2.217072,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
40,41,TRUE,0.334320,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
41,42,TRUE,0.483246,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,2
42,43,false,1.050018,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
43,44,TRUE,0.683044,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
44,45,false,0.016541,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
45,46,TRUE,0.416534,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
46,47,TRUE,2.149841,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,0
47,48,false,1.283051,ELD,JG,1,P47314,27,ELD2018,102102102102102102102102102102102102102102102102,1
