,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,20.831450,PDM,JG,2,P2109,10,PDM2018,120120120120120120,2
1,2,false,2.099731,PDM,JG,2,P2109,10,PDM2018,120120120120120120,1
2,3,TRUE,0.416412,PDM,JG,2,P2109,10,PDM2018,120120120120120120,0
3,4,false,2.149597,PDM,JG,2,P2109,10,PDM2018,120120120120120120,2
4,5,false,1.365295,PDM,JG,2,P2109,10,PDM2018,120120120120120120,0
5,6,false,0.615540,PDM,JG,2,P2109,10,PDM2018,120120120120120120,1
6,7,false,1.283997,PDM,JG,2,P2109,10,PDM2018,120120120120120120,0
7,8,false,1.733368,PDM,JG,2,P2109,10,PDM2018,120120120120120120,0
8,9,false,1.266510,PDM,JG,2,P2109,10,PDM2018,120120120120120120,2
9,10,TRUE,0.849915,PDM,JG,2,P2109,10,PDM2018,120120120120120120,1
10,11,TRUE,1.616364,PDM,JG,2,P2109,10,PDM2018,120120120120120120,2
11,12,TRUE,0.833160,PDM,JG,2,P2109,10,PDM2018,120120120120120120,0
12,13,TRUE,0.832581,PDM,JG,2,P2109,10,PDM2018,120120120120120120,1
13,14,TRUE,1.232117,PDM,JG,2,P2109,10,PDM2018,120120120120120120,2
14,15,TRUE,0.550507,PDM,JG,2,P2109,10,PDM2018,120120120120120120,0
15,16,TRUE,0.566223,PDM,JG,2,P2109,10,PDM2018,120120120120120120,1
16,17,TRUE,1.049377,PDM,JG,2,P2109,10,PDM2018,120120120120120120,2
17,18,TRUE,0.383270,PDM,JG,2,P2109,10,PDM2018,120120120120120120,0
