,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,78.495910,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,1
1,2,false,5.099670,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,0
2,3,TRUE,3.449615,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,0
3,4,false,3.483368,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,0
4,5,TRUE,1.199799,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,2
5,6,TRUE,1.133240,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,0
6,7,TRUE,1.399628,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,1
7,8,TRUE,1.899750,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,2
8,9,TRUE,2.583221,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,0
9,10,false,0.933472,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,2
10,11,TRUE,0.816528,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,2
11,12,TRUE,1.482849,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,0
12,13,TRUE,1.183350,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,1
13,14,TRUE,3.016327,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,2
14,15,TRUE,4.782898,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,0
15,16,TRUE,0.966400,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,1
16,17,TRUE,2.383301,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,2
17,18,TRUE,2.266479,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,0
18,19,TRUE,0.483368,YOG,JG,2,P31155,16,YOG2018,1201201201201201201,1
