,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,9.067413,PDM,JG,1,P36907,12,PDM2018,10210210210210,1
1,2,TRUE,2.413239,PDM,JG,1,P36907,12,PDM2018,10210210210210,0
2,3,false,2.379929,PDM,JG,1,P36907,12,PDM2018,10210210210210,0
3,4,TRUE,2.313751,PDM,JG,1,P36907,12,PDM2018,10210210210210,1
4,5,false,0.782349,PDM,JG,1,P36907,12,PDM2018,10210210210210,1
5,6,TRUE,0.930878,PDM,JG,1,P36907,12,PDM2018,10210210210210,2
6,7,TRUE,1.564651,PDM,JG,1,P36907,12,PDM2018,10210210210210,1
7,8,TRUE,0.932037,PDM,JG,1,P36907,12,PDM2018,10210210210210,0
8,9,TRUE,1.580933,PDM,JG,1,P36907,12,PDM2018,10210210210210,2
9,10,TRUE,0.881729,PDM,JG,1,P36907,12,PDM2018,10210210210210,1
10,11,TRUE,0.499191,PDM,JG,1,P36907,12,PDM2018,10210210210210,0
11,12,TRUE,0.632507,PDM,JG,1,P36907,12,PDM2018,10210210210210,2
12,13,TRUE,0.682358,PDM,JG,1,P36907,12,PDM2018,10210210210210,1
13,14,TRUE,0.565811,PDM,JG,1,P36907,12,PDM2018,10210210210210,0
