,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,5.591888,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,0
1,2,TRUE,1.566406,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,2
2,3,TRUE,2.966095,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,0
3,4,TRUE,5.565964,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,0
4,5,TRUE,2.716644,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,1
5,6,TRUE,1.032516,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,0
6,7,TRUE,0.699738,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,0
7,8,false,0.766708,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,0
8,9,TRUE,1.182312,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,1
9,10,TRUE,1.283142,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,2
10,11,TRUE,0.716782,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,2
11,12,TRUE,0.799789,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,1
12,13,TRUE,0.649780,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,2
13,14,TRUE,0.733460,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,0
14,15,TRUE,0.833191,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,1
15,16,TRUE,0.649780,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,2
16,17,TRUE,0.549988,PDA,AQ,0,P19738,16,PDA2018,02001002122120120,0
