,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,7.013264,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,2
1,2,TRUE,1.300087,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,2
2,3,TRUE,2.016327,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,1
3,4,TRUE,2.249954,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,0
4,5,TRUE,3.816315,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,0
5,6,TRUE,1.550354,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,2
6,7,false,0.449951,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,0
7,8,TRUE,4.866180,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,2
8,9,TRUE,1.866318,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,0
9,10,TRUE,1.633148,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,1
10,11,TRUE,1.716293,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,2
11,12,TRUE,2.816467,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,0
12,13,TRUE,1.316422,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,1
13,14,TRUE,0.866989,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,1
14,15,TRUE,0.749939,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,0
15,16,TRUE,1.016571,PDA,AQ,0,P33250,15,PDA2018,2210021201201102,2
