,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,TRUE,8.802856,ELD,JM,0,P79603,12,ELD2018,001200120012,0
1,2,TRUE,4.527100,ELD,JM,0,P79603,12,ELD2018,001200120012,0
2,3,TRUE,1.297119,ELD,JM,0,P79603,12,ELD2018,001200120012,1
3,4,TRUE,1.763916,ELD,JM,0,P79603,12,ELD2018,001200120012,2
4,5,TRUE,0.881592,ELD,JM,0,P79603,12,ELD2018,001200120012,0
5,6,TRUE,0.382568,ELD,JM,0,P79603,12,ELD2018,001200120012,0
6,7,TRUE,0.798584,ELD,JM,0,P79603,12,ELD2018,001200120012,1
7,8,TRUE,0.565430,ELD,JM,0,P79603,12,ELD2018,001200120012,2
8,9,TRUE,0.948731,ELD,JM,0,P79603,12,ELD2018,001200120012,0
9,10,TRUE,0.316284,ELD,JM,0,P79603,12,ELD2018,001200120012,0
10,11,TRUE,4.409424,ELD,JM,0,P79603,12,ELD2018,001200120012,1
11,12,TRUE,0.965332,ELD,JM,0,P79603,12,ELD2018,001200120012,2
