,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,23.247130,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
1,2,false,6.182617,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
2,3,false,9.050781,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
3,4,false,7.866394,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
4,5,false,4.382996,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
5,6,TRUE,10.716310,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
6,7,false,4.233276,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
7,8,TRUE,3.732971,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
8,9,false,2.799927,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,2
9,10,false,4.049744,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
10,11,TRUE,11.116390,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
11,12,false,7.299683,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
12,13,TRUE,4.399353,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,2
13,14,TRUE,2.599243,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
14,15,TRUE,2.117310,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
15,16,TRUE,6.799438,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,2
16,17,TRUE,1.700012,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
17,18,TRUE,1.500061,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
18,19,false,2.316467,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
19,20,TRUE,4.415100,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
20,21,TRUE,2.299561,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
21,22,TRUE,3.332947,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,2
22,23,TRUE,1.816406,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
23,24,TRUE,2.299683,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
24,25,false,4.449585,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
25,26,false,4.866089,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
26,27,TRUE,4.783264,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
27,28,false,2.549744,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
28,29,TRUE,3.849670,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
29,30,TRUE,13.349370,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
30,31,TRUE,1.449829,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,2
31,32,TRUE,1.333496,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
32,33,TRUE,1.116699,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
33,34,false,1.083496,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
34,35,false,2.199829,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,2
35,36,TRUE,0.633301,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
36,37,TRUE,1.783081,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,2
37,38,TRUE,0.215210,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
38,39,TRUE,1.666504,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
39,40,false,0.932861,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
40,41,TRUE,1.533447,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
41,42,TRUE,0.766357,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
42,43,TRUE,1.949707,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,2
43,44,TRUE,0.083008,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
44,45,TRUE,0.883179,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
45,46,false,0.716431,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
46,47,TRUE,3.516113,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,1
47,48,TRUE,1.833008,PDA,JG,1,P75461,31,PDA2018,210210210210210210210210210210210210210210210210,0
