,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,44.146480,ELD,JG,2,P44150,9,ELD2018,12012012012,0
1,2,false,7.649780,ELD,JG,2,P44150,9,ELD2018,12012012012,0
2,3,TRUE,4.799438,ELD,JG,2,P44150,9,ELD2018,12012012012,0
3,4,TRUE,2.999695,ELD,JG,2,P44150,9,ELD2018,12012012012,1
4,5,TRUE,4.899902,ELD,JG,2,P44150,9,ELD2018,12012012012,2
5,6,TRUE,2.183105,ELD,JG,2,P44150,9,ELD2018,12012012012,0
6,7,TRUE,1.516479,ELD,JG,2,P44150,9,ELD2018,12012012012,1
7,8,TRUE,1.533325,ELD,JG,2,P44150,9,ELD2018,12012012012,2
8,9,TRUE,4.916199,ELD,JG,2,P44150,9,ELD2018,12012012012,0
9,10,TRUE,2.000061,ELD,JG,2,P44150,9,ELD2018,12012012012,1
10,11,TRUE,2.883057,ELD,JG,2,P44150,9,ELD2018,12012012012,2
