,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
0,1,false,4.499115,PDA,JG,2,P36907,10,PDA2018,20120120120120,1
1,2,false,3.032928,PDA,JG,2,P36907,10,PDA2018,20120120120120,2
2,3,false,2.432068,PDA,JG,2,P36907,10,PDA2018,20120120120120,0
3,4,TRUE,3.549713,PDA,JG,2,P36907,10,PDA2018,20120120120120,2
4,5,false,0.649994,PDA,JG,2,P36907,10,PDA2018,20120120120120,1
5,6,TRUE,1.866333,PDA,JG,2,P36907,10,PDA2018,20120120120120,1
6,7,TRUE,2.599670,PDA,JG,2,P36907,10,PDA2018,20120120120120,2
7,8,TRUE,0.666351,PDA,JG,2,P36907,10,PDA2018,20120120120120,0
8,9,TRUE,1.083374,PDA,JG,2,P36907,10,PDA2018,20120120120120,1
9,10,TRUE,1.432831,PDA,JG,2,P36907,10,PDA2018,20120120120120,2
10,11,TRUE,0.216400,PDA,JG,2,P36907,10,PDA2018,20120120120120,0
11,12,TRUE,0.383087,PDA,JG,2,P36907,10,PDA2018,20120120120120,1
12,13,TRUE,0.900024,PDA,JG,2,P36907,10,PDA2018,20120120120120,2
13,14,TRUE,0.817047,PDA,JG,2,P36907,10,PDA2018,20120120120120,0
