playerAlias,DoubleP
gender,M
age,18
education,Fundamental Completo
destro,D
totalPlays,12
totalCorrect,9
successRate,0,8
playId,DoubleP,8112016,131251
stageID,grupo1-v1
resultInt,optionChosenInt,correct, time
2,0,False,3,382776
0,0,True,2,383784
1,1,True,3,817021
2,2,True,3,199572
0,2,False,3,516963
1,0,False,2,683117
2,2,True,3,099539
0,0,True,10,39982
1,1,True,4,733948
2,2,True,2,816658
0,0,True,5,914909
1,1,True,3,583698
