playerAlias,
gender,M
age,
education,Fundamental Completo
destro,D
totalPlays,3
totalCorrect,2
successRate,0,2
playId,,8112016,12410
stageID,grupo1-v1
resultInt,optionChosenInt,correct, time
2,2,True,2,200093
0,1,False,1,465414
1,1,True,0,9837961
